Strain,Type,Rating,Effects,Flavor,Description
Ocas-Cloud-9,hybrid,4.8,"Energetic,Happy,Uplifted,Euphoric,Talkative","Citrus,Flowery,Tea","OCA’s Cloud 9 is a phenotype of the mysterious Brazilian landrace strain known as Borderliner. Though the flowers don’t have a pronounced odor, just a slightly sweet smell, they pack a serious punch, some testing at over 30% THC. And while Borderliner is noted for having a heavy, indica-like effect, OCA’s Cloud 9 gives users an energizing and uplifting high that is good for combating depression and anxiety while also offering excellent pain relief. Keep in mind this strain is different from Cloud 9 by Kiwiseeds and Dampkring Classics."
Ocd,sativa,4.5,"Energetic,Creative,Aroused,Uplifted,Euphoric","Tar","OCD is a strain from downtown Seattle that can be rare to find, but is worth the hunt if you’re a true sativa lover. Active and energetic to the core, this strain is good for those who need to get stuff done. New patients should be cautious, however, as it can cause anxiety."
Og-18,hybrid,4.6,"Relaxed,Sleepy,Happy,Hungry,Euphoric","Earthy,Pine,Diesel","OG #18, a phenotype of OG Kush, was introduced by DNA Genetics. Also known as 'Private Reserve,' this indica-dominant hybrid delivers a long-lasting sedative and trancey high, ideal for leisure and relaxation. True to its predecessors, this flower carries the distinct diesel kush flavor with sour undertones. Its prominence is not new: a winner of the High Times Cannabis Cup in '09 and '10, as well as the Europe Champions Cup and Spannabis Indoor Hydro Cup in '10. Interested in growing? Plan for a 9 week flowering time indoors."
Og-1-Kenobi,indica,0,"None","None","OG 1 Kenobi is a dank and mysterious indica-dominant strain. While it may not be your only hope, this dark but lustrous bud offers potent, long-lasting effects that gradually lean toward sedative. OG 1 Kenobi provides traditional OG effects with an intense, euphoric onset that lays into the body. These relaxing physical effects may offer some cannabis consumers relief from pain while dulling nausea, anxiety, and stress.   "
Og-Cheese,hybrid,4.4,"Relaxed,Creative,Happy,Sleepy,Uplifted","Cheese,Citrus,Earthy","OG Cheese by GreenLabel Seeds is a sour-smelling hybrid that crosses a potent OG Skunk #1 with the resinous indica Afghani. Together, these two parent a powerfully euphoric strain with a funky aroma somewhat similar to that of cheese. OG Cheese’s dreamy, intoxicating buzz makes it a popular strain for recreational consumers, but commercial growers also cherish this strain for its short flowering cycle and heavy yields. Indoors, OG Cheese finishes flowering in 50 to 60 days while outdoor plants are ready to harvest by mid-October."
Og-Chem,hybrid,4.5,"Happy,Euphoric,Relaxed,Uplifted,Energetic","Pine,Pungent,Earthy","OG Chem, also called Chem OG, is a sativa-dominant cross between two legendary strains, Chemdawg and OG Kush. The diesel notes of Chemdawg combine with the sour, piney scent of OG Kush to create a pungent skunky aroma that fills the room. Uplifting and euphoric, OG Chem invites the mind to indulge in its creative side while elevating the mood to a light and carefree state."
Og-Diesel-Kush,hybrid,4.4,"Happy,Relaxed,Creative,Euphoric,Hungry","Skunk,Pine,Pungent","OG Diesel Kush is a hybrid marijuana strain with frosty dark green buds. It has a THC content of up to 19.5% and CBD levels of up to 0.36%."
Og-Eddy-Lepp,indica,4,"Happy,Sleepy,Hungry,Talkative,Tingly","Tropical","OG Eddy Lepp is an indica strain that won 2nd place in the 2013 Cannabis Cup and also competed in the 2014 competition."
Og-Glue-Sniffer,hybrid,5,"Sleepy,Uplifted,Relaxed","Pungent","OG Glue Sniffer is an award-winning hybrid from Matanuska Thunder Seeds. Winning 1st place at the 2016 Anchorage Cannabis Classic for Best Hybrid, OG Glue Sniffer incorporates the generous trichome production and pungent aroma of Gorilla Glue #4 with the OG and Cookie funk of its Grateful Breath father. This loud genetic synthesis infuses the limbs with waves of warm relaxation while stimulating a strong euphoric buzz between the ears.  "
Og-Kush,hybrid,4.3,"Relaxed,Happy,Euphoric,Uplifted,Sleepy","Earthy,Pine,Woody","OG Kush makes up the genetic backbone of West Coast cannabis varieties, but in spite of its ubiquity, its genetic origins remain a mystery. Popular myth maintains that Chemdawg and Hindu Kush parented OG Kush, passing on the distinct “kush” bud structure we see in many strains today. However, we can’t be sure because OG Kush first came from bag seed in the early 90s. The earliest propagators (now known as Imperial Genetics) are said to have brought the seeds out of Florida to Colorado and southern California, where it now flourishes. There are many different phenotypes of OG Kush, some of which include Tahoe OG, SFV OG, and Alpha OG. OG Kush is cherished for its ability to crush stress under the weight of its heavy euphoria. It carries an earthy pine and sour lemon scent with woody undertones, an aroma that has become the signature of OG Kush varieties and descendants. With OG Kush, patients most commonly cite improvements in migraines, ADD/ADHD, and stress disorders. "
Og-La-Affie,indica,4.8,"Relaxed,Happy,Uplifted,Focused,Creative","Earthy,Pepper,Woody","OG LA Affie from DNA Genetics is a pure indica variety best known for parenting the famed LA Confidential. This indica powerhouse is chosen by many patients treating pain and insomnia because, unlike many other pure indica strains, OG LA Affie provides swift relief without inevitable sedation. Instead, it offers an unusually energetic and psychedelic buzz that makes you wonder how a sativa never made it into the genetic mix. The aroma is a subtle blend of earthy and sweet, similar to that of its LA Confidential offspring."
Og-Los-Angeles-Kush,indica,4.7,"Sleepy,Relaxed,Hungry,Euphoric,Focused","Earthy,Citrus","The self-titled Original Los Angeles Kush by Los Angeles Kush is an award winning indica with a THC percentage pushing 27%.The strain’s dense lime green nugs are sticky with resin and emit a deep aroma of pine and fuel. OG LAK brings amplified indica effects that sedate and weigh on the body. This restful mental and physical state makes OG LAK an excellent night cap or good medicine for consumers suffering from insomnia and chronic pain. Utilize the Original Los Angeles Kush in the evening to get the best results from this potent indica strain.     "
Og-Poison,hybrid,4.3,"Relaxed,Sleepy,Euphoric,Hungry,Focused","Earthy,Diesel,Sweet","OG Poison (also known as Poison OG) may put you to sleep after the first taste. Potent and fast-acting, this hybrid was designed to knock out even the worst cases of insomnia. Not a good strain if you’d like to get things done, OG Poison is strictly for nighttime use. Featuring a pungent and piney aroma, this strain is long-lasting and provides a very soothing, heavy body sensation for users. "
Og-Ringo,hybrid,4.5,"Happy,Relaxed,Uplifted,Hungry,Euphoric","Lemon,Sweet,Pine","OG Ringo is an indica-dominant variety of OG Kush bred by SoHum Seeds. The potent hybrid is named for the late Lawrence Ringo, a famed leader in CBD breeding and cannabis activist. OG Ringo is a high-THC strain with large, chunky blossoms that give off an earthy and floral musk that mixes with a smooth, sweet piney note to create long-lasting euphoric effects. With a lemon aftertaste, OG Ringo offers pain and stress relieving properties."
Og-Shark,hybrid,4.5,"Relaxed,Uplifted,Happy,Euphoric,Tingly","Earthy,Chemical,Woody","OG Shark, a rare strain found primarily in Canada, sets high standards with its impressive THC content and pungent, earthy aroma. Patients most commonly turn to this heavy-hitter for nausea, pain, and sleep disorders, as well as many other symptoms."
Og-Skunk,hybrid,4.8,"Happy,Euphoric,Creative,Relaxed,Uplifted","Skunk,Woody,Pine","A cross between OG #18 and Skunk #1, OG Skunk is a 60% sativa-dominant hybrid from DNA Genetics. Flavors of sour fuel and skunky citrus are sure to please fans of both parent strains, while the high offers a nice uplifting head effect along with a relaxing body buzz. Its THC levels have been measured between 16% and 22%."
Og-Sour-Diesel,hybrid,3.5,"Happy,Relaxed,Energetic,Giggly,Talkative","Diesel,Citrus,Lemon","OG Sour Diesel by The Cali Connection is a riff on where Sour Diesel has been and where it is going. By combining Sour OG and Cali Connection’s East Coast Sour Diesel precursor, OG Sour Diesel adopts the historical ECSD lineage while offering a nod to the West Coast’s tradition of Kush-heavy crosses. The fuel aroma the buds emit is intense and astringent. The long-lasting cerebral effects mute stress without encumbering the body."
Og-Strawberry,hybrid,4.4,"Happy,Creative,Uplifted,Euphoric,Relaxed","Strawberry,Sweet,Earthy","OG Strawberry, grown on the southwest ridgeline of Mendocino County by HappyDays Farms, is an indica-dominant hybrid strain that delivers crushing effects alongside a sour fuel aroma. With a THC content that can stretch to 29%, OG Strawberry is a force to be reckoned with. This hybrid combines parent strains OG Kush and Island Strawberry Afghani Indica, a union of potency that will impress even the seasoned veteran."
Og-Tonic,hybrid,4.5,"Aroused,Energetic,Euphoric,Happy","Earthy,Pungent,Woody","OG Tonic is a high-CBD hybrid strain that took 1st place in the 2015 High Times Denver Cannabis Cup as “Best CBD Concentrate.”"
Og-Wreck,hybrid,4.3,"Focused,Euphoric,Uplifted,Happy,Tingly","Sweet,Earthy,Pungent","OG Wreck, a hybrid cross between the famed OG Kush and Trainwreck, is a potent sativa-dominant strain with powerful cerebral effects and medicinal properties. Its chunky, conic buds characteristic of its OG genes are blanketed with frosty crystal trichomes, accenting the flower with a white--almost blue--hue. OG Wreck’s jolting sativa onset is preceded by a sour, skunky aroma and fruity flavor with spicy pepper undertones. This high-THC strain ushers in a variety of therapeutic effects suitable for patients treating pain, nausea, appetite loss, fatigue, depression, headaches, and stress."
Ogs-Pearl,indica,4.2,"Relaxed,Happy,Sleepy,Euphoric,Hungry","Earthy,Pungent,Sweet","OG’s Pearl is an 80% indica strain from Washington that delivers strong body-focused effects ideal for fast-acting stress relief or a lazy evening at home. Grown by Nine Point Growth Industries using a soil medium, OG’s Pearl is the result of crossing the strains Frankenstein and Lemon OG Kush."
Ogiesel,hybrid,4.2,"Euphoric,Energetic,Creative,Relaxed,Happy","Earthy,Pine,Diesel","An inspirational cross between SFV OG Kush and Giesel, OGiesel is all smiles. While mild at first, a euphoric feeling creeps up steadily after initial use. While the slightly sativa dominant traits make this a happy, uplifting strain, OGiesel provides a truly hybrid experience. Its smiley effects are complemented by an easy feeling of bodily relaxation, making this strain perfect for an afternoon picnic or regular daytime use. The aroma of this hybrid is strong and piney with pleasant lemon undertones. OGiesel typically flowers in 8 weeks and features more indica-like growing characteristics. For best yields, this strain should be grown indoors."
Obama-Kush,indica,4.4,"Relaxed,Happy,Euphoric,Uplifted,Creative","Earthy,Sweet,Pungent","This unique indica appropriately channels the President’s famous message of ‘Change’ as it invigorates and inspires. Daughter of indica Afghani and mostly sativa hybrid OG Kush, Obama Kush sets itself apart from other indicas through its cerebral stimulation and euphoric rush. This strain is recommended for all levels of patients looking for a balanced experience, as it offers powerful physical effects as well as an intense cerebral uplift that does not stimulate appetite or put you to sleep. The flowers are frosty with a purple hue and reddish hairs, giving off a light aroma."
Odyssey,hybrid,4.3,"Focused,Relaxed,Happy,Uplifted,Tingly","Sweet,Skunk,Flowery","Odyssey is a well-balanced hybrid strain that originated in San Francisco and quickly became popular in the Bay Area. This strain flowers at 7 to 8 weeks, producing large, dense buds that have a sweet, sugary aroma. Its candy flavor is best appreciated through a vaporizer and provides strong head-based effects. Some head pressure is common, but this strain’s indica side comes out later, leading to a body-melting calm. Overall, Odyssey will take you on a smooth journey."
Ogre,hybrid,4.1,"Relaxed,Happy,Euphoric,Uplifted,Aroused","Skunk,Pungent,Earthy","There are several cannabis strains out there with the moniker of “Ogre.” The best known and most sought after is a sativa/Skunk-leaning phenotype of the multiple award-winning indica Sensi Star. While most phenotypes of Sensi Star are fairly compact indica plants, the Ogre is named for its much larger size and huge yields. Giant, frosty colas produce very high levels of THC and a pungent lemon-skunk aroma."
Ogre-Berry,indica,4.3,"Happy,Relaxed,Focused,Sleepy,Giggly","Blueberry,Berry,Earthy","Ogre Berry is an indica-dominant strain cultivated in the highlands of Northern Mendocino County by HappyDay Farms. Combining Ogre with Island Strawberry Afghani Indica, Ogre Berry regularly tests between 24-28% THC and offers potent relief to aches and pains. Heavy euphoria blankets the mind with sensations of calm relaxation, and while these effects come with great medicinal potential, you may want to set this strain aside when faced with a busy day or cognitive tasks. Sweet citrus flavors meet a fuel-like skunk aroma, creating a sweet and sour fusion to be enjoyed by terpene enthusiasts."
Old-Lyme-Connecticut-Og,hybrid,4.5,"Energetic,Happy,Talkative,Uplifted,Euphoric","Tree,Fruit,Pungent,Pine",""
Old-Mother-Sativa,sativa,4,"None","","Old Mother Sativa is an enormous plant with uplifting, euphoric effects. This strain is believed to have originated in Southeast Asia, but gained popularity in Australia during the 1960’s and 70’s. With bushes that can reach upwards of 15 feet tall, this flower grows well in a variety of climates. Known for its resistance to drought and its long growing season, Old Mother Sativa yields a wealth of frosty buds, given the time to flourish. Expect happy, uplifting effects that nullify stress and imbue the consumer with a giddy sense of wellbeing.  "
Old-School-Og,hybrid,3.8,"Sleepy,Relaxed,Tingly,Happy,Euphoric","Pungent,Skunk,Earthy",""
Old-Toby,hybrid,4.2,"Creative,Energetic,Happy,Euphoric,Relaxed","Lime,Pine,Spicy/Herbal","Old Toby was developed by grower Matthew Gordon to help curb short term memory loss while offering exceptional anti-inflammatory effects. With a terpene profile rich in limonene and pinene, Old Toby uplifts the mind and blankets the body in a trainquility that is medicinal without being sedating. The genetic lineage of Old Toby is hard to pin down due to the nearly decade-long breeding process Gordon undertook developing the strain. As fans may already know, this is the pipe-weed Gandalf enjoyed in J.R.R. Tolkien’s book, The Hobbit. "
Oldtimers-Haze,sativa,5,"Tingly,Uplifted,Energetic","Citrus,Pine","Oldtimer’s Haze is a semi-stable old school Haze varietal from the 60s and 70s. This strain survived for decades with the help of Oldtimer, a British cannabis breeder, and has since gone on to influence famous buds like Purple Haze and Green Haze. While the genetic background of this strain is ambiguous, it remains one of Ace Seeds’ most sought after cultivars. Oldtimer’s Haze offers stimulating effects and aromas that speak to the heady, spicy buds of yesteryear.  "
Omega,hybrid,4.8,"Euphoric,Happy,Tingly,Relaxed,Uplifted","Menthol,Spicy/Herbal,Sweet","Bred over generations from White Widow, Kush, NYC Diesel, and Permafrost genetics, Omega by Rogue Buds is a hybrid strain that lets the mind soar while relaxing the body. This high-THC strain carries a pungent and complex aroma comprised of earthy pine, sweet citrus, and spicy menthol notes. Omega eases muscle tension and frees the headspace of excessive stress, making this strain a perfect partner for winding down after a long day."
Omega-Dawg,hybrid,4.4,"Uplifted,Euphoric,Relaxed,Happy,Tingly","Diesel,Sweet,Earthy","Omega Dawg is a 50/50 hybrid cross between Chemdawg and Space Queen. Bred by Alphakronik Genes, this strain inherits a skunky diesel aroma from its Chemdawg mother along with thick trichome coverage courtesy of Space Queen. Balancing full-body relaxation with cerebral euphoria, Omega Dawg is typically chosen by patients treating pain, multiple sclerosis, and muscular dystrophy. Cultivators will harvest flowers between 65 and 75 days indoors or in October for outdoor grows, keeping in mind that Omega Dawg needs plenty of room for root growth and an abundance of nitrogen."
One-To-One,hybrid,4.7,"Focused,Hungry,Relaxed,Creative,Energetic","Earthy,Woody,Pepper","Named for its equal balance of THC and CBD, One to One by CBD Seeds is a stabilized hybrid bred from Amnesia Haze and a high-CBD landrace strain. Its nuanced citrus notes come out strong from the first opening of the jar until the final exhale. With effects that embrace both the mind and body, One to One delivers blissful relaxation that encourages a positive mood. One to One finishes its flowering cycle after 8 to 9 weeks, or in September for outdoor gardens."
Opal-Og-Kush,indica,4.5,"Relaxed,Euphoric,Aroused,Sleepy,Tingly","Strawberry,Earthy,Lavender","Opal OG Kush is an 80% indica strain grown by Nine Point Growth Industries in Washington state. With genetics coming from a blend of Frankenstein and Lemon OG Kush, Opal OG Kush buds grow into a colorful patchwork of red, green, and purple hues. Heavy, cerebrally concentrated euphoria melts down throughout the body, evening out to calming relaxation and dreamy bliss. Opal OG Kush is grown indoors in a soil medium, and is available in Washington’s recreational cannabis stores."
Opium,hybrid,4.8,"Happy,Relaxed,Euphoric,Uplifted,Giggly","Earthy,Citrus,Flowery","Opium by Paradise Seeds is an even 50/50 hybrid that offers the best of both indica and sativa strains. This strain won 2nd place at the 2006 High Times Cannabis Cup and has grown in popularity since. Known to flourish indoors, this plant grows fat, resinous colas when hydroponics are employed. Outside, this strain is a different beast, growing more fickle in guerrilla cropping conditions. "
Or,hybrid,4.4,"Hungry,Happy,Relaxed,Euphoric,Sleepy","Earthy,Flowery,Woody","Or, comprised of 70 percent indica genetics, is an Israeli strain from the medical cannabis supplier Tikun Olam. Primarily designed for patients with sleep disorders, Or also remedies an array of other symptoms including nausea, pain, inflammation, indigestion, and appetite loss."
Orange-Afghani,indica,4.5,"Hungry,Relaxed,Sleepy,Creative,Uplifted","Orange,Citrus,Earthy","Orange Afghani by Bedford Grow is a heavy indica with bright terpenes. Crossing an Orange Ghost mother and a Lashkar Gah/White ‘91 father, Orange Afghani inherits tart citrus terpenes overlain by a sweet, floral undertone native to many traditional Kush cuts. This strain has a happy, euphoric buzz that couples well with its functional relaxation. Orange Afghani is also known to produce high levels of the terpene terpinolene.   "
Orange-Blossom,hybrid,4.6,"Uplifted,Euphoric,Happy,Talkative,Creative","Orange,Citrus,Pine","Orange Blossom by Falcanna is the hybrid cross of Orange Bud and OG Kush. This strain combines equal measures carefree euphoria with calming physical effects that make it ideal for leisurely activities. Its aroma is slightly floral with overtones of fresh squeezed orange. Orange Blossom’s flavor is very similar but includes a delicate Kush aftertaste. Utilize this strain to stimulate appetite while reducing stress.  "
Orange-Bud,hybrid,4.3,"Happy,Euphoric,Energetic,Relaxed,Uplifted","Orange,Citrus,Pungent","First bred in 1980s by Dutch Passion, Orange Bud cannabis strain is a combination of two members of the 100% Skunk family. It is one of the more potent and most simplistic strains to cultivate, with buds that are dense with a large amount THC crystals. With bright orange hairs coating the surface, this strain has scents of orange and nectarines with a flowering time of 8-9 weeks. Orange Bud's THC content has been measured up to 16.5% and grows well both indoors and out. "
Orange-Cookies,hybrid,4.6,"Relaxed,Happy,Uplifted,Euphoric,Creative","Citrus,Orange,Sweet","Orange Cookies bred by Franchise Genetics is a hybrid that combines Orange Juice with the renowned Girl Scout Cookies. A flavor-packed strain, Orange Cookies expresses itself with a strong aroma of sweet citrus that closely resembles a fresh tangerine. The flavors of Orange Cookies gives way to deep calming body effects that mingle with a euphoric cerebral buzz to leave you happy and relaxed. "
Orange-Creamsicle,hybrid,4.8,"Relaxed,Happy,Euphoric,Uplifted,Focused","Citrus,Orange,Sweet","Taking the best attributes of parent strains Orange Crush and Juicy Fruit, Orange Creamsicle’s tall structure, heavy colas, and pungent flavor will be sure to keep you coming back for more. This hybrid strain, as the name suggests, has a strong citrus flavor and is used to treat nausea and anxiety. Growers will be happy with this heavy producer that flowers in 9 weeks with beautiful orange-white coloring and a thick coating of resin."
Orange-Crush,hybrid,4.2,"Uplifted,Happy,Relaxed,Energetic,Creative","Citrus,Orange,Sweet","Orange Crush is a sativa-dominant cannabis strain with a super sweet tangy flavor and aroma. Bred by BC Growers Association with California Orange and Blueberry for parents, Orange Crush produces a powerful cerebral sensation that can last up to two hours. It has small, dense buds that contain a large amount of trichomes and many orange pistils. Orange Crush has a flowering time of 7-9 weeks and a THC content of up to 15%."
Orange-Diesel,hybrid,4.4,"Relaxed,Focused,Talkative,Energetic,Euphoric","Citrus,Orange,Diesel","Orange Diesel, or Agent D, is a sativa-dominant hybrid that combines Sour Diesel and TGA Seeds’ Agent Orange. This lineage is evident in Orange Diesel’s sweet citrus flavor which is accented by a subtle diesel aftertaste. Sativa-lovers will appreciate the sharp sense of energy and focus that Orange Diesel delivers, and these effects may be helpful for patients treating ADD/ADHD, fatigue, and stress."
Orange-Dream,hybrid,4.1,"Happy,Euphoric,Creative,Uplifted,Relaxed","Tropical,Orange,Citrus","Orange Dream is a sativa-dominant hybrid that crosses Orange Crush with Blue Dream, each of which bring a unique dimension to this strain. Inviting aromas of citrus and vanilla combine to create a distinct flavor profile that can only be compared to orange creamsicles. Mellow euphoria lightly settles in, easing you into a relaxed but alert state of mind that lets creativity roam free. Depression and stress sink away while your mood is lifted to new heights, and its lightweight effects make Orange Dream the perfect choice for any time of the day."
Orange-Durban,sativa,4.8,"Energetic,Talkative,Uplifted,Focused,Creative","Orange,Sweet,Citrus","Orange Durban is a citrus-heavy version of the African landrace strain Durban Poison. Parent strains Orange Juice Bud and Durban Poison come together to offer consumers notes of sweet orange intermixed with pine and earthy undertones. This strain’s bright, fruity flavors are underpinned by a stimulating physical energy that encourages activity. The mental state is generally uplifted, with effects that cater to creative pursuits like drawing and dancing. Enjoy Orange Durban during the day to capitalize on the immense burst of energy native to this plant’s genetics.    "
Orange-Haze,hybrid,4.4,"Happy,Uplifted,Euphoric,Relaxed,Energetic","Orange,Sweet,Citrus","The sativa-dominant hybrid Orange Haze by Green Devil Genetics combines a flavorful Orange Bud with the classic Haze. From Orange Bud, it inherits a sweet citrus flavor while Haze provides this hybrid with all of our favorite sativa effects: energy, focus, euphoria, and creativity. Orange Haze’s dense, sticky buds are threaded with fiery copper hairs, giving this strain an unmistakable appearance akin to its Orange Bud parent. Green Devil Genetics recommends a 64-day flowering time indoors, or a mid-October harvest for outdoor gardens."
Orange-Hill-Special,hybrid,4.9,"Happy,Relaxed,Sleepy,Euphoric,Focused","Orange,Citrus,Sweet","Orange Hill Special is a select cross from the Orange Skunk family. Bred by Dutch Passion Seed Company, Orange Hill Special was developed over six generations by blending the genetics from Orange Bud and California Orange into a balanced hybrid. Known for its bright orange pistils and citrus flavors, Orange Hill Special triggers a cerebral buzz that is equalized by relaxing body effects."
Orange-Juice,hybrid,4.4,"Relaxed,Euphoric,Uplifted,Happy,Creative","Citrus,Orange,Sweet","Orange Juice, bred by Gage Green Genetics, mixes one of their staple strains Joseph (Underdog OG bag seed) with a cross of California Orange and OG Kush. An indica-driven hybrid, Orange Juice erupts with a blast of orange and lemon notes that combine with diesel undertones to create an inviting aroma and a mouthful of sweet earthy citrus. The effects of Orange Juice are relatively balanced, producing a relaxed body with a happy and uplifted head buzz."
Orange-Kush,indica,4.1,"Relaxed,Happy,Euphoric,Sleepy,Hungry","Orange,Citrus,Sweet","Orange Kush was bred by Green Devil Genetics and is the child of Orange Bud and OG Kush. It eases the body into relaxation while lifting moods with a sweet and tangy citrus flavor. This strain is resistant to most pests and mold and has long, dense buds with many orange hairs and trichome crystals."
Orange-Kush-Breath,hybrid,0,"None","None","Orange Kush Breath by Gabriel Cannabis is an indica-dominant hybrid created from a complex pairing of potent and flavorful genetics. This strain combines Orange Juice with Sour Double Kush, which is then crossed with the famous OG Kush Breath (OGKB). This delicious strain has a wonderful citrus fragrance and flavor while imbuing the limbs with deep, pleasant relaxation. Enjoy this bright, effervescent strain throughout the day to improve mood while reducing stress.   "
Orange-Romulan,indica,4,"Euphoric,Relaxed,Tingly,Giggly,Happy","Citrus,Orange,Lime","Orange Romulan is a citrus-forward indica with potency to spare. This strain is the supposed cross of Orange OG and Romulan and has been known to push 20% THC regularly. Also known by its earthy, orange peel undertone and massive trichome production, Orange Romulan offers sedative body effects coupled with a pleasant touch of euphoria. Orange Romulan’s terpene profile is second only to its ability to abate muscle spasms and minor physical pain.   "
Orange-Skunk,hybrid,4.1,"Happy,Relaxed,Uplifted,Hungry,Tingly","Citrus,Orange,Earthy","Orange Skunk is a clear-headed hybrid cross between Californian Orange and Skunk. With a smell that is as sweet as it is sour, Orange Skunk delivers strong physical sensations that creep into a steady cerebral invigoration. Its medical uses are diverse, but patients treating stress, anxiety, inflammation and headaches may benefit the most from this California hybrid. Novice growers delight in the simplicity of raising Orange Skunk plants, which flower in 8 to 10 weeks in indoor gardens."
Orange-Turbo,hybrid,4.3,"Happy,Creative,Relaxed,Sleepy,Hungry","Citrus,Orange,Sweet","Orange Turbo, bred by MTG Seeds, is a flavorful hybrid strain that crosses Orange Creamsicle with Turbo Diesel. The aroma is as sweet and citrusy as the name suggests, with a sharp sour aroma that cuts through on the exhale. Despite the minimal effort this hybrid demands of her growers, Orange Turbo rewards you with large fragrant buds following a nine week flowering cycle."
Orange-Velvet,hybrid,4.3,"Uplifted,Relaxed,Happy,Euphoric,Focused","Orange,Citrus,Sweet","This hard to come by strain known as Orange Velvet, tastes and smells remarkably like Orange Dreamsicles; the orange-y, creamy, frozen desert on a stick. The strain was likely created somewhere in the Pacific Northwest using Skunk genetics. The effects are not super powerful with the OV, but the taste and aroma more than make up for it. The high gives just the right amount of euphoric lift, while maintaining an even focus and clarity for a duration of 2 to 3 hours. Medicinally, this strain is good for treating light pain. Orange Velvet has been discontinued for the most part, but it does pop up from time to time in some dispensaries; so if you see it out there in the world, buy large!  "
Orange-Wreck,sativa,3,"Uplifted,Creative,Energetic,Euphoric,Focused","Orange,Citrus,Pine","Orange Wreck is the original homegrown cross of Trainwreck and a special (if not mysterious) old school Allagash strain. Exhibiting notes of pungent pine, fermented oranges, and funk, Orange Wreck offers consumers a challenging palate atop stimulating effects. This strain settles behind the eyes and in the body, igniting appetite and offering moderate pain relief. "
Oregon-Diesel,indica,4.5,"Relaxed,Happy,Sleepy,Tingly,Euphoric","Diesel,Earthy,Pine","Oregon Diesel is an indica-dominant hybrid that combines NYC Diesel and Blackberry genetics in a blend bred by Homegrown Natural Wonders specifically for the Pacific Northwest climate. This strain was popularized by Oregrown as they hunted for quality genetics. Oregon Diesel is recommended for nighttime pain relief and its relaxing yet clear-headed effects will calm stress and help you avoid sleepless nights."
Oregon-Pineapple,hybrid,4.2,"Happy,Giggly,Uplifted,Relaxed,Creative","Pineapple,Sweet,Cheese",""
Oregon-Pinot-Noir,sativa,4.6,"Relaxed,Euphoric,Sleepy,Focused,Tingly","Grape,Sweet,Diesel","This Hawaiian Purple Kush and Pitbull cross was bred among the grapes of a respected Pinot Noir vineyard in Oregon. Taking its name from the breeding location and its deep purple buds, this versatile plant gives off the taste of sweet grapes with a spicy hint of Haze. Though a 80/20 sativa-dominant strain, Oregon Pinot Noir gives the effects of a couch-locking indica, providing a noticeable body high best served for nighttime consumption."
Organic-Diesel,hybrid,4.5,"Uplifted,Happy,Talkative,Energetic,Focused","Diesel,Pungent,Tobacco",""
Orient-Express,hybrid,4.5,"Uplifted,Euphoric,Happy,Hungry,Relaxed","","Orient Express by Ace Seeds is a sativa-dominant hybrid with Asian lineage. Created by crossing Vietnam Black and China Yunnan, Orient Express has herbal, grassy aromas representative of the hot and humid forest floor in the dense rainforests of Southeast Asia. The effects are described as warm, clean, and pleasant and perfect for chatting and enjoying good company without paranoia or anxiety. With an average potency of 16% THC and an 8 to 10 week flowering time, Orient Express is an ideal option for new or seasoned gardeners. "
Ortega,indica,4.8,"Relaxed,Giggly,Uplifted,Euphoric,Sleepy","Spicy/Herbal,Pepper,Earthy","Ortega by Mr. Nice Seeds is an indica strain bred from Northern Lights genetics. Since its creation in the mid-1980s, Oretga has offered growers heavy yields of resinous, sweet-smelling buds that finish flowering in just 6 to 8 weeks. Its effects are heavily tranquilizing and help to usher in sleep with late night use. "
Oteils-Egyptian-Kush,hybrid,4.8,"Happy,Hungry,Relaxed,Focused,Creative","Earthy,Pungent,Woody","Oteil’s Egyptian Kush was created through a collaboration between GroundSwell's master cultivator, genetics aficionado: T-Dogg Gardens, and Oteil Burbridge, the Grammy-winning bassist from the Allman Brothers and Dead & Company. With two powerhouse indica-leaning parents, this strain boasts dense nugs and sweet cherry flavor backed up by hints of diesel and anise. Energetic and uplifting up front, Oteil’s Egyptian Kush provides a blissful body effect that grabs ahold slowly without weighing you down. This strain may be great for pain management, insomnia, happiness, and relaxation."
Outer-Space,sativa,4.7,"Uplifted,Creative,Euphoric,Energetic,Happy","Sweet,Citrus,Berry","Outer Space is a sativa-dominant strain that is a cross of Island Sweet Skunk and Trinity and is known for cerebral and creative effects. It has a citrusy odor that is strong and produces a flavorful smoke. Great as a daytime medicine."
Outlaw,sativa,4.5,"Euphoric,Uplifted,Creative,Energetic,Focused","Earthy,Woody,Spicy/Herbal","Outlaw is a high-intensity strain bred by Dutch Passion, who combined Super Haze and Amnesia to create this 80% sativa. It inherits a sweet aroma from its Haze parent, intermixing fresh earthiness with sour lemon. Outlaw’s initial impact comes quickly and powerfully, but evens out to an uplifting, clear-headed buzz over time. With a THC content that typically falls between 15-20%, Outlaw may help patients treat glaucoma, inflammation, depression, migraines, and ADD/ADHD. Outlaw’s breeders recommend growing this sativa using the screen of green (SCROG) method with a 12-week flowering in order to capture its full flavor."
